canonical_smiles,molecule_chembl_id,pref_name,max_phase,molecule_type,first_approval
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,CHEMBL50,QUERCETIN,3,Small molecule,
O=C(c1ccc(F)cc1)C1CCN(CCn2c(=O)[nH]c3ccccc3c2=O)CC1,CHEMBL51,KETANSERIN,4,Small molecule,
O=C(O)COc1ccc(CCNS(=O)(=O)c2ccccc2)cc1,CHEMBL8273,SULOTROBAN,2,Small molecule,
C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O,CHEMBL459,METHYLDOPA,4,Small molecule,1962
CCc1c(C)[nH]c2c1C(=O)C(CN1CCOCC1)CC2,CHEMBL460,MOLINDONE,4,Small molecule,1974
CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,CHEMBL53,APOMORPHINE,4,Small molecule,2001
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,CHEMBL54,HALOPERIDOL,4,Small molecule,1967
CC1=NN(CCOc2ccc3ccccc3c2)C(=O)C1,CHEMBL8425,NAFAZATROM,2,Small molecule,
N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1,CHEMBL55,PENTAMIDINE,4,Small molecule,1984
Nc1ccc(C(=O)NCC(=O)O)cc1,CHEMBL463,AMINOHIPPURIC ACID,4,Small molecule,1982
CCOC(=O)/C=C(C)/C=C/C=C(C)/C=C/c1c(C)cc(OC)c(C)c1C,CHEMBL464,ETRETINATE,4,Small molecule,1986
CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc(c43)[C@@H]2C1,CHEMBL8514,BUTACLAMOL,2,Small molecule,
Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,CHEMBL57,NEVIRAPINE,4,Small molecule,1996
CCCCCCCC/C=C\\CCCCCCCC(=O)O,CHEMBL8659,OLEIC ACID,2,Small molecule,
C#CCN(C)CCCOc1ccc(Cl)cc1Cl,CHEMBL8706,CLORGILINE,2,Small molecule,
CCCCC/C=C\\C/C=C\\CCCCCCCC(=O)O,CHEMBL267476,LINOLEIC ACID,2,Small molecule,
CC(C)(C)c1cc(C(=O)c2cccs2)cc(C(C)(C)C)c1O,CHEMBL8846,PRIFELONE,2,Small molecule,
N[C@@]1(C(=O)O)CC[C@H]2[C@H](C(=O)O)[C@H]21,CHEMBL8759,EGLUMETAD,2,Small molecule,
CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,CHEMBL465,DRONABINOL,4,Small molecule,1985
O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21,CHEMBL58,MITOXANTRONE,4,Small molecule,1987
NCCc1ccc(O)c(O)c1,CHEMBL59,DOPAMINE,4,Small molecule,1974
O=C(CCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc(F)cc1,CHEMBL267930,SPIPERONE,2,Small molecule,
O=C(O)c1ccc(OCCn2ccnc2)cc1,CHEMBL267473,DAZOXIBEN,2,Small molecule,
CCN1CCC[C@H]1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,CHEMBL267044,LEVOSULPIRIDE,2,Small molecule,
CCN1CCC[C@H]1CNC(=O)c1c(O)c(Cl)cc(Cl)c1OC,CHEMBL8809,RACLOPRIDE,2,Small molecule,
CCc1cc(Cl)c(OC)c(C(=O)NC[C@@H]2CCCN2CC)c1O,CHEMBL8946,ETICLOPRIDE,2,Small molecule,
CCN1CCC[C@H]1CNC(=O)c1c(OC)ccc(I)c1O,CHEMBL267723,IOLOPRIDE,2,Small molecule,
CN1CN(c2ccccc2)C2(CCN(CCCC(=O)c3ccc(F)cc3)CC2)C1=O,CHEMBL267932,MESPIPERONE,2,Small molecule,
NC(=O)NO,CHEMBL467,HYDROXYUREA,4,Small molecule,1967
CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CC=C(C)C[C@@H]21,CHEMBL267227,DELTA-8-TETRAHYDROCANNABINOL,2,Small molecule,
COc1cc([C@@H]2c3cc4c(cc3[C@H](O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OC,CHEMBL61,PODOFILOX,4,Small molecule,1990
CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@@H](CC=O)C[C@@H](C)C(=O)/C=C/[C@]2(C)O[C@H]2[C@@H]1C,CHEMBL8965,ROSARAMICIN,2,Small molecule,
COc1ccc(C2CNC(=O)C2)cc1OC1CCCC1,CHEMBL63,ROLIPRAM,2,Small molecule,
N#Cc1ccc(C2CCCc3cncn32)cc1,CHEMBL9298,FADROZOLE,2,Small molecule,
NNC(=O)c1ccncc1,CHEMBL64,ISONIAZID,4,Small molecule,1952
O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,CHEMBL468,THALIDOMIDE,4,Small molecule,1956
O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O,CHEMBL469,KETOROLAC,4,Small molecule,1989
CCCCN(CCCC)C(=O)CN1C[C@H](c2ccc3c(c2)OCO3)[C@@H](C(=O)O)[C@@H]1c1ccc(OC)cc1,CHEMBL9194,ATRASENTAN,3,Small molecule,
COc1cc(C2Oc3cc([C@H]4Oc5cc(O)cc(O)c5C(=O)[C@@H]4O)ccc3OC2CO)ccc1O,CHEMBL9509,SILIBININ,3,Small molecule,
COc1ccc(C(=O)c2ccc3n2CCC3C(=O)O)cc1,CHEMBL428479,ANIROLAC,2,Small molecule,
CNC(=O)ON(C(C)=O)C(=O)NC,CHEMBL9116,CARACEMIDE,2,Small molecule,
CC[N+](CC)(CC)CC,CHEMBL9324,TETRYLAMMONIUM,2,Small molecule,
CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1,CHEMBL471,SOTALOL,4,Small molecule,1992
CN1C(=O)[C@@H](NC(=O)c2cc3ccccc3[nH]2)N=C(c2ccccc2)c2ccccc21,CHEMBL9506,DEVAZEPIDE,2,Small molecule,
CC(=O)Nc1cccc(O)c1,CHEMBL9419,METACETAMOL,2,Small molecule,
COC(=O)Nc1nc2cc(C(=O)c3cccs3)ccc2[nH]1,CHEMBL9514,NOCODAZOLE,2,Small molecule,
COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,CHEMBL472,GLYBURIDE,4,Small molecule,1984
CCCCCCC[N+](CC)(CC)CCCCc1ccc(Cl)cc1,CHEMBL9484,CLOFILIUM,2,Small molecule,
CC[C@H](c1ccc(O)cc1)[C@@H](CC)c1ccc(O)cc1,CHEMBL9225,HEXESTROL,4,Small molecule,
CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1,CHEMBL473,DOFETILIDE,4,Small molecule,1999
CC(C)CN[C@H]1CCS(=O)(=O)c2sc(S(N)(=O)=O)cc21,CHEMBL417975,SEZOLAMIDE,2,Small molecule,
c1ccc(C2(N3CCCCC3)CCCCC2)cc1,CHEMBL275528,PHENCYCLIDINE,2,Small molecule,
O=C1CN=C(c2ccccc2Cl)c2cc(Cl)ccc2N1,CHEMBL268254,DELORAZEPAM,2,Small molecule,
CN(C)/N=N/c1[nH]cnc1C(N)=O,CHEMBL476,DACARBAZINE,4,Small molecule,1975
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CHEMBL477,ADENOSINE,4,Small molecule,1989
CN(Cc1ccc(S(=O)(=O)N2CCOCC2)cc1)c1ccc2c3c(cccc13)C(=N)N2,CHEMBL9440,METESIND,2,Small molecule,
Clc1cccc(N2CCNCC2)c1,CHEMBL478,CHLOROPHENYLPIPERAZINE,2,Small molecule,
CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2,CHEMBL479,THIORIDAZINE,4,Small molecule,1962
