canonical_smiles,molecule_chembl_id,pref_name,max_phase,molecule_type,first_approval
CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,CHEMBL41,FLUOXETINE,4,Small molecule,1987
Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,CHEMBL443,SULFAMETHOXAZOLE,4,Small molecule,1973
CCC1(CC)C(=O)NC(=O)NC1=O,CHEMBL444,BARBITAL,4,Small molecule,
CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,CHEMBL42,CLOZAPINE,4,Small molecule,1989
CNCCC=C1c2ccccc2CCc2ccccc21,CHEMBL445,NORTRIPTYLINE,4,Small molecule,1964
Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,CHEMBL446,SULFAMETHAZINE,4,Small molecule,1949
C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,CHEMBL447,SECOBARBITAL,4,Small molecule,1950
CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,CHEMBL448,PENTOBARBITAL,4,Small molecule,1973
CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12,CHEMBL7568,QUINACRINE,4,Small molecule,
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,CHEMBL267894,AMOBARBITAL,4,Small molecule,
CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O,CHEMBL7728,HEXOBARBITAL,4,Small molecule,
CCC(C)C1(CC)C(=O)NC(=O)NC1=O,CHEMBL449,BUTABARBITAL,4,Small molecule,1939
C=CCC1(C(C)C)C(=O)NC(=O)NC1=O,CHEMBL7863,APROBARBITAL,4,Small molecule,
CCC1(CC)C(=O)NC(=O)N(C)C1=O,CHEMBL450,METHARBITAL,4,Small molecule,1982
CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1,CHEMBL451,CHLORDIAZEPOXIDE,4,Small molecule,1960
N=C(N)c1ccc(CNC(=O)[C@@H]2CCN2C(=O)[C@H](NCC(=O)O)C2CCCCC2)cc1,CHEMBL266349,MELAGATRAN,4,Small molecule,2004
O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1,CHEMBL452,CLONAZEPAM,4,Small molecule,1975
Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C,CHEMBL453,SULFISOXAZOLE,4,Small molecule,1971
COc1ccc(NS(=O)(=O)c2ccc(N)cc2)nn1,CHEMBL268869,SULFAMETHOXYPYRIDAZINE,4,Small molecule,
C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O,CHEMBL454,BUTALBITAL,4,Small molecule,1983
CC(=O)NS(=O)(=O)c1ccc(N)cc1,CHEMBL455,SULFACETAMIDE,4,Small molecule,1945
COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12,CHEMBL43,AMSACRINE,4,Small molecule,1987
C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,CHEMBL456,ETHACRYNIC ACID,4,Small molecule,1967
O=C(O)COc1ccc(C(=O)c2cccs2)c(Cl)c1Cl,CHEMBL267744,TICRYNAFEN,4,Small molecule,1979
Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,CHEMBL457,GEMFIBROZIL,4,Small molecule,1981
COc1ccc2[nH]cc(CCNC(C)=O)c2c1,CHEMBL45,MELATONIN,4,Small molecule,2007
Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,CHEMBL46,ONDANSETRON,4,Small molecule,1991
O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,CHEMBL49,BUSPIRONE,4,Small molecule,1986
O=C(c1ccc(F)cc1)C1CCN(CCn2c(=O)[nH]c3ccccc3c2=O)CC1,CHEMBL51,KETANSERIN,4,Small molecule,
C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O,CHEMBL459,METHYLDOPA,4,Small molecule,1962
CCc1c(C)[nH]c2c1C(=O)C(CN1CCOCC1)CC2,CHEMBL460,MOLINDONE,4,Small molecule,1974
CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,CHEMBL53,APOMORPHINE,4,Small molecule,2001
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,CHEMBL54,HALOPERIDOL,4,Small molecule,1967
N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1,CHEMBL55,PENTAMIDINE,4,Small molecule,1984
Nc1ccc(C(=O)NCC(=O)O)cc1,CHEMBL463,AMINOHIPPURIC ACID,4,Small molecule,1982
CCOC(=O)/C=C(C)/C=C/C=C(C)/C=C/c1c(C)cc(OC)c(C)c1C,CHEMBL464,ETRETINATE,4,Small molecule,1986
Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,CHEMBL57,NEVIRAPINE,4,Small molecule,1996
CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,CHEMBL465,DRONABINOL,4,Small molecule,1985
O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21,CHEMBL58,MITOXANTRONE,4,Small molecule,1987
NCCc1ccc(O)c(O)c1,CHEMBL59,DOPAMINE,4,Small molecule,1974
NC(=O)NO,CHEMBL467,HYDROXYUREA,4,Small molecule,1967
COc1cc([C@@H]2c3cc4c(cc3[C@H](O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OC,CHEMBL61,PODOFILOX,4,Small molecule,1990
NNC(=O)c1ccncc1,CHEMBL64,ISONIAZID,4,Small molecule,1952
O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,CHEMBL468,THALIDOMIDE,4,Small molecule,1956
O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O,CHEMBL469,KETOROLAC,4,Small molecule,1989
CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1,CHEMBL471,SOTALOL,4,Small molecule,1992
COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,CHEMBL472,GLYBURIDE,4,Small molecule,1984
CC[C@H](c1ccc(O)cc1)[C@@H](CC)c1ccc(O)cc1,CHEMBL9225,HEXESTROL,4,Small molecule,
CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1,CHEMBL473,DOFETILIDE,4,Small molecule,1999
CN(C)/N=N/c1[nH]cnc1C(N)=O,CHEMBL476,DACARBAZINE,4,Small molecule,1975
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CHEMBL477,ADENOSINE,4,Small molecule,1989
CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2,CHEMBL479,THIORIDAZINE,4,Small molecule,1962
Cc1c(OCC(F)(F)F)ccnc1C[S+]([O-])c1nc2ccccc2[nH]1,CHEMBL480,LANSOPRAZOLE,4,Small molecule,1995
CCc1c2c(nc3ccc(OC(=O)N4CCC(N5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC,CHEMBL481,IRINOTECAN,4,Small molecule,1996
CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,CHEMBL70,MORPHINE,4,Small molecule,1984
COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341,CHEMBL485,CODEINE,4,Small molecule,1952
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,CHEMBL71,CHLORPROMAZINE,4,Small molecule,1957
CNCCCN1c2ccccc2CCc2ccccc21,CHEMBL72,DESIPRAMINE,4,Small molecule,1964
CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,CHEMBL488,AMINOGLUTETHIMIDE,4,Small molecule,1980
O=C([O-])c1cc(=O)c2c(OCC(O)COc3cccc4oc(C(=O)[O-])cc(=O)c34)cccc2o1.[Na+].[Na+],CHEMBL74,CROMOLYN SODIUM,4,Small molecule,1982
CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,CHEMBL76,CHLOROQUINE,4,Small molecule,1949
Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,CHEMBL490,PAROXETINE,4,Small molecule,1992
Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1,CHEMBL416146,ETORICOXIB,4,Small molecule,
CCN(CC)CC(=O)Nc1c(C)cccc1C,CHEMBL79,LIDOCAINE,4,Small molecule,1948
CN1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc32)CC1,CHEMBL9967,PIRENZEPINE,4,Small molecule,
CCCN(CC)C(CC)C(=O)Nc1c(C)cccc1C,CHEMBL492,ETIDOCAINE,4,Small molecule,1976
